Text,Type
"Kindly accept my apology for sending my mail to you. I am a true God fearing person, and I want you to trust me and help me out in this my condition. I believe you are a highly respected personality, considering the fact that I sourced your profile from a human resource profile database on your country in the Internet.

Though, I do not know to what extent you are familiar with events and fragile political situation in Liberia but it has formed consistent headlines in the CNN, BBC news bulletins.

My Name is MRS.SUZANA NUHAN VAYE from Liberia, a Country in West Africa. My late Husband is Issac Nuhan Vaye, Deputy Minister of Public Works in Liberia. My Husband was falsely accused of plotting to remove the then PRESIDENT OF LIBERIA CHARLES TAYLOR) from office. Without trial, Charles Taylor killed him. You can verify this from some of the international newspapers posted in the web sites below:

(I)http://www.usatoday.com/news/world/2003-07-15-liberia_x.htm

Before my husband was killed, he moved out the sum of $21.5 million through a diplomatic means, and deposited it with a Security Company Abroad. And this money was meant for importation of agricultural machineries.

All that is needed is for my lawyer to instruct the company to transfer the funds to your account, I will remunerate you with 20% at the end, but most of all is that I solicit your trust and honesty in this transaction. I have been confined only to our country home and all my calls are monitored, so I will advise you contact my private Attorney Barr. P.O.Williams base in United Kingdom on his contact stated below for onward proceedings: -

NAME:BARR.JAMES BRODERICK(ATTORNEY) 
TEL:44-7040120730
FAX:44-870-1348903
EMAIL:brrjmsbroderick@kaixo.com
EMAIL:barjmsbroderick@yahoo.com.hk
 

Kindly include your Full Name, Private Telephone and Fax Numbers where you can always be reached, your Residential or Company Address to enable him send detail information/documents that will enable you receive the fund without any problem either now or in future as all modalities as been perfected.

Please your urgent response is needed.

Best Regards.

MRS.SUZANA NUHAN VAYE (WIDOW)",Fraud
"Dear Sir/Madam,

I am BONGIES ZULU from Cape Town, South Africa and I am an Executive
Accountant with the South Africa Department of Mining & Natural Resources
affiliated (created) to the Department of Minerals and Energy. First and
foremost, I apologized using this medium to reach you for a
transaction/business of this magnitude, but this is due to Confidentiality
and prompt access reposed on this medium.

Be informed that a member of the South African Export Promotion Council
(SEPC) who was at the Government delegation to your country during a trade
exhibition gave your enviable credentials/particulars to me. I plea to seek
a confidential co-operation with you in the execution of the deal described
Hereunder for the benefit of all parties and hope you will keep it as a top
secret because of the nature of this transaction.

Within the Department of Mining & Natural Resources where I work as an
Executive Accountant and with the cooperation of two other top officials, we
have in our possession as overdue payment bills totaling TEN MILLION FIVE
HUNDRED THOUSAND US DOLLAR, (10.5) which we want to transfer abroad with the
assistance and cooperation of a foreign company/individual to receive the
said fund on our behalf or a reliable foreign non-company account to receive
such funds. More so, we are handicapped in the circumstances, as the South
Africa Civil Service Code of Conduct does not allow us to operate offshore
account hence your importance in the whole transaction.

This amount TEN MILLION FIVE HUNDRED THOUSAND UNITED STATES DOLLAR ($10.5m)
represents the balance of the total contract value executed on behalf of my
Department by a foreign contracting firm, which we the officials
over-invoiced deliberately. Though the actual contract cost have been paid
to the original contractor, leaving the balance in the tune of the said
amount which we have in principles gotten approval to remit by Telegraphic
Transfer (T.T) to any foreign bank account you will provide by filing in an
application through the Justice Ministry here in South Africa for the
transfer of rights and privileges of the former contractor to you.

I have the authority of my partners involved to propose that, should you be
willing to assist us in this transaction that is 100% hitch free, your share
of the sum will be 25% of the $10.5 million, 70% for us and 5% for taxation
and miscellaneous expenses. The business itself is 100% safe, on your part
provided you treat it with utmost secrecy and confidentiality. Also your
area of specialization is not a hindrance to the successful execution of
this transaction. I have reposed my confidence in you and hope that you will
not disappoint me.

Endeavor to contact me through above e-mail address or the fax number
whether or not you are interested in this deal. If you are not, it will
enable me scout for another foreign partner to carry out this deal I want to
assure you that my partners and myself are in a position to make the payment
of this claim possible provided you can give us a very strong Assurance and
guarantee that our share will be secured. And please remember to treat this
as very confidential because, we will not comprehend with any form of
exposure as we are still in active Government Service and remember once
again that, time is of the essence in this business.

I wait in anticipation of your fullest co-operation.

Yours faithfully,

BONGIES ZULU

_________________________________________________________________
Get news headlines and download FREE stuff - visit MSN South Africa! 
http://www.msn.co.za/",Fraud
"20 SILVER CRESCENT,
Enugu,Nigeria.

Compliment of the day

I am Joseph Cabutti the consulting auditor with one of the prime banks here
in Nigeria. My search for a trustworthy individual/firm has led me to
you. I came across your contact while looking for a worthwhile investments
or projects that I can be affiliated with. I am writing you this letter to
ask for your support and co-operation to carry out this transaction.

The proposition

An industrialist and a foreigner who was customer of my client bank, who
died on the 25TH JULY, 2000 in CONCORDE PLANE CRASH [Flight AF4590] with
the whole passengers on board. During the course of my auditing discovered
an account opened in the bank in 1998 by this great late NDUSTRIALIST who
died without a written or oral 'WILL' attached to the account. Since his
death, I further investigated with kin interest to see if I can get any
relative of the late industrialist but all has proved abortive as no one
has come to claim his funds and no other person knows about this account
or anything concerning it.

The account has no other beneficiary and until his death he was the CEO of
his company work with my client bank, he had a balance of $36,000,000.00
USD {Thirty six million united states dollars} which the bank now expects
a next of kin to claim as beneficiary, Valuable efforts are being made to
get in touch with any of the relatives but to no success. It is because of
the perceived possibility of not being able to locate any the next of kin
and the beneficiary. The management under the influence of the Chairman
and members of the Board of Directors of the bank, are making arrangement
for the funds to be declared ""UNCLAIMED"" and will be lost to the Federal
Government or subsequently be donated to the Trust Fund for Arms and
Ammunition to further enhance the course of war in Africa. In order to
avert this negative development, I now seek your permission to have you
stand as a next of kin to late beneficiary so that the funds USD36m would
be released and paid into your account as the beneficiary next of kin. We
wish to start the first transfer with $10,000,000.00[Ten million] and upon
successful transaction without any disappointment from your side; we shall
re-apply for the transfer of the remaining balance to your account.

I have secretly discussed this matter with a close confidant attorney whom
I must involve in order to assist us produce legal back-up documents which
would substantiate your claims and also enable us have a smooth and
successful transfer of the fund to any foreign bank account which you are
going to nominate. On this note, We have secured from the probate an order
of mandamus to locate any of deceased beneficiary and more so we are
assuring you this business is 100% risk free involvement you should not
entertain any fear as all modalities for fund transfer can be finalized
within 7 to 9 banking days, after you apply to the bank as the beneficiary
of the fund from the deceased. At the conclusion of the transfer 65% of
the fund will be for me, I will give you 20% of the total transfer sum,
10% for charity both in Africa and in your country while the remaining 5%
will be set aside to settle expenses both parties might incure during the
transfer process.

If this proposal is acceptable by you do not make undue advantage of the
trust we have bestowed on you, then kindly get to me immediately.

Please furnish me with your private Telephone and Fax Number for easy and
safe communication.

Respectfully yours,
Joseph Cabutti.",Fraud
"Dear Friend,

My name is Mr. Chris Swales and I work with a Bank here in 
London-England, The name of the bank is Barclays Bank. We had a 
Mr.Allen Duke, customer that had a deposit of US$4.8M (Four Million 
Eight Hundred Thousand United States Dollars) before he died in a 
plane crash with his wife and only Child about 6years now (January 30,
2000) and since he died, we in the Bank here have been expecting 
his/her next of kin/relative(s) for the inheritance of the deposit, 
but none has surfaced.

The policy of the Bank however stipulates a limited time period for 
such inheritance to be made or the fund will be written off going by 
the record of the incident, the time limit for the claim is closing 
up. In this consideration, I am contacting you to seek for your kind 
understanding and sincere co-operation to claim this inheritance for 
our mutual benefit.

If you can stand as the next of kin in this project, success is 
assured because I am in possession of the personal file jacket of the
deceased which contains every needed information about the account and 
the deceased. You and I stand no risk of any kind because I have 
enough information to support you in claiming the inheritance.

The proceedings of the transaction will be shared 50% each after 
expenses are reimbursed. Kindly indicate your willingness by email on 
chriswales@katamail.com and we shall proceed with the initial step for 
the claim. The entire project is expected to last for about ten 
working days.

Please kindly get back to me urgently so that we will discuss more on 
this issue. Also do not fail to furnish me with your direct phone and 
fax numbers for easier communication.

Best Regards,
Chris Swales
Email:chriswales@katamail.com",Fraud
"Dear Friend,

Good day. I decided to contact you after I went through my father’s file. 
Hence we confide in you. we sincerely seek your assistance.

My name is Mr.Desmond Martin Olds the only son of Mr.Martin Olds, a wealthy 
farmer and senior politician with the opposition political party in my 
country, Movement for Democratic Change (MDC). Our wicked President Robert  
mugabe murdered my father, before I ran way from my country because I have 
become his next target to eliminate. My father was a fighter for Justice and 
a moving force in The MDC, a party wanting to end the several years of 
brutal Dictatorship government of President Robert Mugabe.

Here is my reason for contacting you. Before the death of my father, he  
deposited the sum of Ten Million US Dollars (US$10,000,000.00) with a 
security company,The money was deposited as a gem/precious stone in a metal 
trunk box to avoid seizure and much demurrage from the security  company 
organization. This money was earmarked for the purchase of new machinery and 
chemicals for the farms and the establishment of new farms in Lesotho and 
Swaziland.

The government seized my father’s farms and bank account before his Murder. 
He told me everything concerning the funds while he was still in Alive. This 
is why I need your assistance in securing the funds there in your Country, 
so that I can arrange on how to come over to your country for the investment 
of the fund, I am willing to offer you 15% of the total fund for your 
assistance.as you may know that the financial law and regulations of the 
government does not give we assylum seekers financial rights to such huge 
sum of money. In view of this, The monetary policy/law does not allow such 
investment by an asylum seeker or refugee. Please, let me know if you can 
assist me, so that I can give you more details on how we shall proceed.


As I wait for your urgent Response, please treat this
information as top secret. Then u can also contact me through this 
alternative mail (mr_desmond3@yahoo.com.au)

Yours Sincerely,
Mr.Desmond Martin.",Fraud
"Dr. Musa Dura
FINANCIAL TRUST BANK
NO: 17 COLE STREET,
Ouagadougou - Burkina Faso
Tel:00226-78-81-04-32

Dear Friend,

My name is Dr.  Musa Dura, a staff of FINANCIAL TRUST BANK. I have this 
urgent deal to transact with you if you can do it. There is an unclaimed 
deposited fund of $87.6 Million dollars in the name of Mr James Johnson with 
no traceable address. This fund has stayed over 10 years in the bank without 
a claimant.

Professionally, any unclaimed money for a period exceeding 10 years is 
recovered by the bank. I being in the position of the file. I wants any 
foreign partner to assume the next of kin of the late James Johnson and 
write to the Financial Trust Bank for claims.

I will advice you adequately on how to do it when I hear from you. Bear in 
mind that I will stand as a neutral body to the whole transaction. You will 
only be dealing with any attorney we choose.
Your compensation has been taken into consideration as the account provider. 
To be precise, your share is 30% of the Total amount. Any financial 
assistance we receive from you will be paid back to you immediately the fund 
gets into your account.

I am willing to give you the details of the money and the way we can execute 
the deal successfully but let me see the desire from you  first.


Dr. Musa  Dura

NOTE: YOUR URGENT AND FAVORABLE RESPONSE IS HIGHLY APPRECIATED

_________________________________________________________________
Découvrez le Blog heroic Fantaisy d'Eragon! 
http://eragon-heroic-fantasy.spaces.live.com/",Fraud
"Good day,

    I am David Bryan, staff of Kleinwort Benson. I am contacting you
concerning a deceased customer and an investment he placed under our
banks management three years ago.

I am contacting you independently of our investigation and no one is
informed of this communication. I would like to intimate you with certain
facts that I believe would be of interest to you. In the year 2003, the
subject matter; came to our bank to engage in business discussions with
our private banking division. He informed us that he had a financial
portfolio of Six Million United States dollars, which he wished to have us
turn over (invest) on his behalf.

In mid 2004, he asked that the money be liquidated because he needed to
make an urgent investment requiring cash payments in Helsinki- Finland. He
directed that I liquidate the funds and deposit it with a security firm. I
informed him that my Bank would have to make special arrangements to have
this done and in order not to circumvent due process.

Cash movement across boarders has become especially strict since the
incidents of 9/11. I contacted my affiliate and made the funds available
to the security firm. I undertook all the processes and made sure I
followed his precise instructions to the letter and had the funds
deposited with the security firm. The Security Firm is a specialist
private firm that accepts deposits from high net worth individuals and
blue chip corporations that handle valuable products or undertake
transactions that need immediate access to cash. This small and highly
private organization is familiar especially to the highly placed and
well-connected organizations. In line with instructions, the money was
deposited with the security firm.

The deceased told me he wanted the money there in anticipation of his
arrival from Norway later that week. This was the last communication we
had, this transpired around 25th of November 2004. In June last year, and
we got a call from the security firm informing us about the inactivity of
that particular portfolio.  I made futile efforts to locate the deceased.
I immediately passed the task of locating him to the internal
investigations department of Kleinwort Benson. Four days later,
information started to trickle in, apparently our client was dead. A
person who suited his description was declared dead of a heart attack in
Canne, in Southern part of France. We were soon enough to identify the
body and cause of death was confirmed.  In his bio-data form, he listed no
next of kin. In the field of private banking, opening an account with us
means no one will know of its existence, accounts are rarely held under a
name; depositors use numbers and codes to make the accounts anonymous.
This investigation has for the past months been unfruitful; we’ve used our
private investigation affiliate companies to get to the root of the
problem. It is this investigation that resulted in my being furnished with
your details as a possible relative of the deceased.

What I wish to relate to you will smack of unethical practice but I want
you to understand something. It is only an outsider to the banking world
who finds the internal politics of the banking world aberrational. The
world of private banking especially is fraught with huge rewards for those
that occupy certain offices and oversee certain portfolios. You should
have begun by now to put together the general direction of what I propose.
There is Six Million United States dollars deposited in a security firm, I
alone have the deposit details and they will release the deposit to no one
unless I instruct them to do so. I alone know of the existence of this
deposit for as far as my Bank is concerned.

My proposal: I now seek your permission to present you as a next of kin to
the deceased, as all documentations will be carefully worked to make you
the beneficiary to the funds $6,00 000 00 (Six Million United states
Dollar); I am prepared to place you in a position to instruct The security
Firm to release the deposit to you as the closest surviving relation. Upon
receipt of the deposit, I am prepared to share the proceeds 60/40.I would
have gone ahead to ask that the funds be released to me, but that would
have drawn a straight line to me and my involvement in claiming the
deposit. We can fine-tune this based on our interactions am aware of the
consequences of this proposal. I ask that if you find no interest in this
project that you should discard this mail. I ask that you do not be
vindictive and destructive. If my offer is of no appeal to you, delete
this message and forget I ever contacted you.

 I wish to inform you that should you contact me via official channels; I
will deny knowing you and about this project. I repeat, I do not want you
contacting me through my official phone lines nor do I want you
contacting me through my official email account. Contact me only through
the numbers I will provide for you and also through this email address. I
do not want any direct link between you and myself. My official lines are
not secured lines as they are periodically monitored to assess our level
of customer care in line with our Total Quality Management Policy. Please
observe this instruction religiously.

Do not betray my confidence. Kindly send your response to my private
email: davbryan00@sify.com

I await your response.

David Bryan",Fraud
"FROM THE DESK OF MASSAN AHMED
BILL AND EXCHANGE MANAGER,
BANK OF AFRICA (BOA)
OUAGADOUGOU, BURKINA FASO.
Dear Sir,
              I am the manager of bill and exchange foreign remittance at 
the department of Bank Of Africa (BOA).
In my departmentn we discovered an abandone sum of $ 22.6 m US dollars 
(Twenty two  Millon six hundred thousand  US dollars) . In an account that 
belongs to one of our foreign customer who died along with his entire family 
in a concord plane crash in the year 2000 in paris that almost took the 
whole life of the pasengeres on board.

Since we got information about his death, we have been expecting his next of 
kin to come over and claim his money because we cannot release it unless 
somebody applies for it as next of kin or relation to the deceased as 
indicated in our banking guidelines but unfortunately we learnt that all his 
supposed next of kin or relation died alongside with him at the plane crash 
leaving nobody behind for the claim.

It is therefore upon this discovery that I and other officials in my depar
tment now decided to make this  businness proposal to you and release the 
money to you as the next of kin or relation to the deceased for safety and 
subsequent disbursement since nobody is coming for it and we don;t want this 
money to go into the Bank treasury as unclaimed Bill.
The Banking law and guideline here stipulates that if such money remained 
unclamed after ten years, the money will be transfered into the Bank 
treasury account as unclaimed fund. The request of foreigner as next of kin 
in this business is occasioned by the fact that the customer was a foreigner 
and a Burkinabe cannot stand as next of kin to a foreigner.

We agree that 30 % of this money will be for you as foreign partner, in 
respect to the provision of a foreign account, 10 % will be set aside for 
expenses incured during the business and 60 % would be for ;me and my 
colleagues.

Thereafter I and my colleagues will visit your country for disbursement 
accoding to the percentages indicated. Therefore to enable the immediate 
trnansfer of this fund to you as arranged, you must apply first to the bank 
as relations or next of kin of the deceased indicating your bank name, your 
bank account number, your private telephone and fax number for easy and 
effective communication and location where in the money will be remitted.

   Upon receipt of your reply, I will send to you by fax or email the text 
of the application. I will not fail to bring to your notice that this 
transaction is hitch free and that you should not entertain any atom of fear 
as all required arrangements have been made for the transfer.

You should contact me immediately as soon as you receive this letter. 
Trusting to hear from you immediately.
  Your;s faithfully,
  MR.MASSAN AHMED
(Bill and exchange manager)
  BANK OF AFRICA (BOA).

_________________________________________________________________
MSN Hotmail sur i-mode™ : envoyez et recevez des e-mails depuis votre 
téléphone portable ! http://www.msn.fr/hotmailimode/",Fraud
"THE PRESIDENCY
DEBT RECONCILIATION COMMITTEE
Tel: +234-1-765-8477
Fax: +234-1-555-9344


ATTN CONTRACT BENEFICIARY,

IMMEDIATE PAYMENT OF YOUR FUNDS. #: GVRCBN/NNPC/FGN/MIN/006.

I am the Director, Debt reconciliation Committee of the Federal Republic of Nigeria. I bring to your immediate notice and urgent attention that the Nigerian Government, The United Nations and the African Union
have finally approved your payment.

A woman by name Mrs. Janet White came to our office with an application letter stating that you have instructed her to be the beneficiary also that you told her to act as your Next of Kin to receive your payment in her account. We are writing to know if you at any time gave this woman the power of attorney to represent you also if you are aware that your payment of $15.5M will be transferred to the below account:


Bank of America,
2201 C St. NW, Washington, D.C. 20520ABA Number: 114000653; Account
Number: 4746363838;
Account Name: JANET WHITE
Account officer's Phone number: 202-624-4750

If you are not aware of the above, do immediately reconfirm your correct banking details so that funds can be transferred to your account without any further delay as we have instructed our London paying bank to
effect transfer to the above account if we do not hear from you till the next four banking days from the day this message was sent.

I wish to inform you that this approved amount has been processed and will be released to you as soon as you respond to this letter. Also note that from the record in my file, the approved amount for immediate transfer is $15.5 million dollars (Fifteen Million Five Hundred Thousand United States Dollars). With due respect sir, do reconfirm the below details to avoid paying your Contract/Inheritance payment to a wrong account or beneficiary. Note that this payment is ready to be made into your account as soon as you confirm to us that you did not send this woman and reconfirm the below details.

1) Your full name and full address (2) Phone, fax and mobile #.3) Bank Name and address (4) Bank account number, Swift code etc where funds will be transferred to.

As soon as this information is received, your payment will be made in cash payment or KTT wire transferred to your bank account directly from Central Bank of Nigeria or our London Paying Bank and a copy of payment slips sent to you for immediate confirmation through your bank.

Do help us serve you better by responding to this message immediately.

Regards,
Dr. Paul A. Sule
DIRECTOR DEBT RECONCILIATION COMMITTEE",Fraud
"Dear Beloved in Christ,
 
Please bear with me for sending you this just in case you are offended by it 
as I know we don't know each. It's my belief that I am doing the lord's 
bidding and what is truly right in his eyes and that is what gives me the 
courage to send this email to a total stranger like you. Before I start, I 
will need to warn you that this email might contain the most shocking and 
unbelievable piece of news you have ever had in your entire life, but I 
trust the lord to give you enough faith and insight to see the sincerity in 
my heart.
 
 
It is by the grace of God that I received Christ, having known the truth; I 
had no choice than to do what is lawful and just in the sight of God for 
eternal life and in the sight of man for witness of God & His Mercies and 
glory upon my life.
 
 
I am Mrs. Sandra White, the wife of Mr. Robert White, my husband was an 
expatriate Contractor with Chevron/Texaco in Kenya for twenty years before 
he died in the year 2003. We were married for ten years without a child. My 
Husband died after a brief illness that lasted for only four days. Before 
his death we both got born-again and dedicated Christians. Since his death I 
decided not to re-marry or get a child outside my matrimonial home which the 
Bible is strongly against. When my late husband was alive he deposited the 
sum of US$7.5 Million (Seven Million Five Hundred Thousand U.S. Dollars) in 
a 4 year one-time fixed deposit account with a Bank in Europe . Presently, 
this money(with accrued interest) is still with the Bank and the management 
just wrote me as the next of Kin/beneficiary to the account that it has 
become DORMANT since no transaction has been operated on it since the 
completion of the 4 years and if I, as the beneficiary of the funds, do not 
re-activate the account; the funds will be CONFISCATED or I rather issue a 
letter of authorization to somebody to receive it on my behalf because of my 
condition(note that you need to activate this account) as I can not come 
over. Presently, I'm in a hospital in Kenya (I chose to remain here since I 
will die closer to nature and the lord) where I have been undergoing 
treatment for esophageal cancer. I have since lost my ability to talk and my 
doctors have told me that I have only a few weeks to live. It is my last 
wish to see this money distributed to charity organizations anywhere in the 
World that might be in need of it. I have already donated most of our wealth 
here in Kenya to our local church and our house after my death to an 
orphanage here in Kinshasha. They are all totalling almost 800,000 USD.  
Because relatives and friends have plundered so much of my wealth since my 
illness, I cannot live with the agony of entrusting futher this 
responsibility to any one of them any more. 
 
 
I feel you might still be in sin and not so committed to the good lord or 
you are not even a christian but today, this moment as you read this, open 
your heart as this moment shall become the turning point in your life. Why 
would a total stranger like me be sending you this, be telling you this and 
be offering this much. Beloved, to be sincere with you, I HAVE NO IDEA 
except, that I know that the lord's way are not our ways. I have come to 
conclude that's it's divine. Who are we to question him anyway as just by 
his breath he gave us life, so much...... Open your heart and see the beauty 
of his plans, his intentions, his wish for the world then it will become 
very clear to you why at this time I am dying and why at the same time you 
are chosen for this, you other than someone else. It's all part of the big 
picture of the kingdom that is to come. Tha all his followers will spend 
forever............
 
 
Please, I beg you in the name of God to help me Stand-in as the beneficiary 
and collect the Funds from the Bank. I want a person that is God-fearing who 
will use this money to fund churches, orphanages and widows propagating the 
word of God and to ensure that the house of God is maintained. The Bible 
made us to understand that blessed is the hand that giveth. I took this 
decision because I don’t have any child that will inherit this money and my 
husbands’ relatives are not Christians and I don’t want my husbands’ hard 
earned money to be misused by unbelievers. I don’t want a situation where 
this money will be used in an ungodly manner. Hence the reason for taking 
this bold decision. I am not afraid of death since I know where I am going 
to. I know that I am going to be in the bosom of the Lord. {Exodus14 VS14} 
says that the lord will fight my case and I shall hold my peace. I will not 
communicate with you by phone in this regard because of my soundless voice 
and presence of my husbands’ relatives around me always. I don’t want them 
to know about this development as I know all they are interested in is my 
husband's wealth and not my health.
 
 
With God all things are possible. 
 
Your Sister in Christ,
Mrs. Sandra White.",Fraud
"PEACE BE UNTO YOU.
I am Faheem Hossam, from Afghanistan, a politician and government
official working with the ministry of finance before the Talibans took
control of Afghanistan. Please get back to me. I want to discuss an
important thing with you. I look forward to hearing from you.",Fraud
"FROM RITA DOINK.
INTERNATIONAL PROMOTIONS/PRIZE AWARD DEPARTMENT
RESULTS FOR CATEGORY ""A"" DRAWS.

Congratulations to you as we bring to 
your notice, the results of the First Category draws of THE HOLLAND 
CASINO LOTTO PROMO INT. We are happy to inform you that you have 
emerged a winner under the First Category, which is part of our 
promotional draws. The draws were being officially announced on the 1st 
of December, 2006.Participants were selected through a computer ballot 
system drawn from 2,500,000 email addresses of individuals and 
companies from Africa, America, Asia, Australia,Europe, Middle East and 
Oceania as part of our International Promotions Program.

Your e- mail 
address, attached to Coupon numbers 8800977 consequently won in the 
First Category. You have therefore been awarded a lump sum pay out of 
500,00000eur (Five hundred thousand euros), which is the winning payout 
for Category A winners. This is from a total cash prize of 5,000,000.00 
Million Euros shared amongst the first Ten (10) lucky winners in this 
category. 

CONGRATULATIONS!

Your fund is now deposited with the 
paying Bank.In your best interest to avoid mix up of numbers and names 
of any kind, we request that you keep the entire details of your award 
strictly from public notice until the process of transferring your 
claims has been completed, and your funds remitted to your account.This 
is part of our security protocol to avoid double claiming or 
unscrupulous acts by participants/nonparticipants of this program. 

Please contact your claims agent immediately for due processing and 
remittance of your prize money to a designated bank account of your 
choice. You are advised to contact the agents by email,phone or fax. 
Failure to do so may warrant disqualification.NOTE: For easy reference 
and identification, remember to quote your Coupon numbers in your 
correspondence with your claims agent.

To file for your claim,please 
contact the fiduciary agent with your Coupon numbers,tel/fax numbers 
and full names.
***********************************************
MR. 
KARL WINSLOW.
AMSTERDAM,THE NETHERLANDS.
TEL: +31-626-403-565
FAX:+31-
847-355-196.
REPLY EMAIL:mrkarlwwinsloww@aim.com
***********************************************
All winnings must be 
notarized to complete the claim process; winners will be referred to a 
Foreign Transfer Manager,to have their winnings notarized. 

Congratulations once again from all our staff.

Sincerely Yours,

MRS. 
RITA DOINK.
THE PROMOTION COORDINATOR",Fraud
"DEAR BELOVED, 
 
I am Mrs. Christina Holden. 
Am married to Dr. Donald Holden. a Canadian who worked
for Shell Oil Company in Nigeria,he died after a brief illness that 
lasted for only four
days. Before his death we were married for 11 good years without a
child and were both born again Christians . Since his death I decided
not to re-marry or get a child outside my matrimonial home which the 
Bible forbids. 
 
When my late husband was alive he deposited the sum of $10.5 Million 
(Ten Million five hundred thousand U.S.Dollars) with A Bank.
Presently, this money is still under the safe keeping of the
RESERVE FINANCE COMPANY Recently, my Doctor told me that I would not
last for the next Three(3) months due to my cancer problems. 

Though what disturbs me most now, i recently had stroke.Having known 
my condition, I decided to donate this fund to church or betterstill a 
Christian or muslim individual That will utilize this money theway I am 
going to instruct here in. I want a church that will use thisfund on, 
orphanages, deaf and dumb and poor widows propagating the word of God 
and to ensure that the house of God is maintained.The Bible made us to 
understand that blessed is the hand that giveth.
I took this decision because I don't have any child that will inherit 
this money and my husband relatives are not Christians and I don't want 
my husband's hard earned money to be misused by unbelievers. I don't 
want a situation where this money will be used in an ungodly manner. 
Hence the reason for taking this bold decision. 
 
As soon as I receive your reply I will forward your personal 
information, such as Your full name, Your full address, with Your 
telephone and fax number to my lawyer through his email  so that he 
will contact you as the legal owner of my fund before the bank will be 
transferring the fund into your nominated Bank Account in your 
country. 
I will also issue you a letter of a authority that will back you up as 
the real next of kin and the original- beneficiary of my fund. I want 
you and the church to always pray for me because the lord is my 
shepherd,you will also promise me that you will not seat on the fund 
when it gets into your bank account. My happiness is that I lived a 
life of a worthy Christian. 

Whoever that wants to serve the Lord must serve him in spirit and 
truth. Please always be
prayerful all through your life, any delay in your reply will give me 
room in serching for a church or Christian individual for this same 
purpose. Please assure me that you will act accordingly as I stated 
herein.Hoping to hear from you as soon as possible.
  
Remain blessed in the name of the Lord. 
Yours in Christ, 

Mrs. Christina Holden.",Fraud
"Hello Friend,

Please excurse me if i have infringe into your privacy.this may be
strange any way but i have no option but cry out . having gone through your
profile i think i am convince you are the right fellow to confide this to.

It is my pleasure to contact you for a business venture which I and my Son,
intend to establish in your country.
Though I have not met with you before but I believe, one has to risk
confiding in someone to succeed sometimes in life.

There is this amount of Eight million, five hundred thousand United
State Dollars($8.500,000) which my late Husband deposited with a security
company in Abidjan Capital city of Cote d'Ivoire which he wanted to
used for his political reason in our Country before he was assassinated.

Now I and my son have decided to invest these money in your country or
anywhere safe enough outside Africa for security and political reasons.
We want you to help us claim and receive the consignment which will be
sent to you through diplomatic means to your address to avoid any
traces of the funds and to enable you plan for the investment in your
Country:

I will like to invest part of the money into these three investment
in your Country but, if there is any other business that is better than
what I am suggestion, I will be very glad to follow your advice.

1). Real estate
2). The transport industry
3). Five star hotel

If you can be of an assistance to us we will be pleased to offer to you
20% Of the total fund while the balance will be invested by you.

I await your response soonest
Respectfully yours,
Mrs monica edmond

_________________________________________________________________",Fraud
